,Provider,age_mode,age_median,deceased_sum,Gender_mode,Race_mode,State_mode,County_mode,No_days_admitted_median,No_days_admitted_mode,No_days_ClaimProcessing_median,No_days_ClaimProcessing_mode,AttendingPhysician_mode,RenalDiseaseIndicator_mode,ChronicCond_Alzheimer_median,ChronicCond_Alzheimer_mode,ChronicCond_Cancer_median,ChronicCond_Cancer_mode,ChronicCond_Depression_median,ChronicCond_Depression_mode,ChronicCond_Diabetes_median,ChronicCond_Diabetes_mode,ChronicCond_Heartfailure_median,ChronicCond_Heartfailure_mode,ChronicCond_IschemicHeart_median,ChronicCond_IschemicHeart_mode,ChronicCond_KidneyDisease_median,ChronicCond_KidneyDisease_mode,ChronicCond_ObstrPulmonary_median,ChronicCond_ObstrPulmonary_mode,ChronicCond_Osteoporasis_median,ChronicCond_Osteoporasis_mode,ChronicCond_rheumatoidarthritis_median,ChronicCond_rheumatoidarthritis_mode,ChronicCond_stroke_median,ChronicCond_stroke_mode,NoOfMonths_PartACov_median,NoOfMonths_PartACov_mode,NoOfMonths_PartBCov_median,NoOfMonths_PartBCov_mode,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_median,OPAnnualDeductibleAmt_sum,OPAnnualDeductibleAmt_median,OPAnnualReimbursementAmt_sum,OPAnnualReimbursementAmt_median,IPAnnualDeductibleAmt_sum,IPAnnualDeductibleAmt_median,IPAnnualReimbursementAmt_sum,IPAnnualReimbursementAmt_median,DeductibleAmtPaid_sum,DeductibleAmtPaid_median,OperatingPhysician_mode,OtherPhysician_mode,no_of_service_provided,PotentialFraud
1528,PRV51353,70.0,70.0,18,1,1,5,0,1.0,1.0,0.0,0.0,PHY352639,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,51210,90,7040,270,22920,560,11748,534,115060,1500,5390.0,0.0,['PHY384303'],['PHY383074'],18,No
1529,PRV52971,66.0,72.0,3,1,1,15,280,5.0,5.0,5.0,5.0,PHY389222,0,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,12,12,12.0,12,15000,4000,3150,220,2720,820,3204,1068,15250,4000,3204.0,1068.0,['PHY389222'],['PHY389222'],3,No
1530,PRV54682,71.0,71.0,96,0,1,22,130,1.0,1.0,0.0,0.0,PHY334419,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,57690,80,57990,360,186050,1165,56468,0,593980,0,5740.0,0.0,"['PHY362892', 'PHY363374', 'PHY374978', 'PHY379067']","['PHY334419', 'PHY374978']",96,No
1531,PRV53272,75.0,75.0,24,0,1,18,660,1.0,1.0,0.0,0.0,PHY321361,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,1.5,1,1.0,1,2.0,2,12,12,12.0,12,32660,95,18420,410,69580,2360,18156,1068,280790,1000,4412.0,0.0,"['PHY313803', 'PHY321361', 'PHY361412', 'PHY375712', 'PHY394374']","['PHY332054', 'PHY373123', 'PHY394374', 'PHY414517', 'PHY423563']",24,No
1532,PRV51065,76.0,77.0,28,0,1,1,290,1.0,1.0,0.0,0.0,PHY395935,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,76570,200,16260,385,49120,980,20156,0,158290,0,9722.0,0.0,['PHY400487'],['PHY395935'],28,No
1533,PRV51956,82.0,73.5,14,0,1,7,10,1.0,1.0,0.0,0.0,PHY333653,0,2.0,2,2.0,2,1.0,1,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,24110,250,7970,340,17620,660,8544,0,60790,0,2236.0,0.0,"['PHY333653', 'PHY385436', 'PHY391696', 'PHY418928']",['PHY316217'],14,No
1534,PRV55811,57.0,64.0,2,0,1,37,540,5.0,2.0,5.0,2.0,PHY359506,0,1.5,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,1.5,1,1.5,1,2.0,2,2.0,2,12,12,12.0,12,41000,20500,50,25,380,190,2136,1068,42600,21300,2136.0,1068.0,['PHY359506'],[],2,No
1535,PRV52508,69.0,71.0,36,0,1,13,200,1.0,1.0,0.0,0.0,PHY329535,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,30640,70,19410,240,50260,1000,26088,0,233010,0,2186.0,0.0,"['PHY327079', 'PHY355607', 'PHY357220', 'PHY373673', 'PHY422733']",['PHY422733'],37,No
1536,PRV57197,82.0,71.5,99,0,1,49,830,1.0,1.0,0.0,0.0,PHY416808,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,115540,90,47330,355,166690,1225,81168,0,1166240,0,8744.0,0.0,"['PHY373648', 'PHY416808', 'PHY429071']",['PHY429071'],100,No
1537,PRV52476,69.0,72.5,26,0,1,12,200,1.0,1.0,0.0,0.0,PHY432199,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,87300,90,14280,325,51820,1290,27768,534,330280,1500,6508.0,0.0,['PHY420377'],['PHY432199'],26,No
1538,PRV52836,83.0,77.0,21,0,1,15,330,1.0,1.0,0.0,0.0,PHY314768,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,53680,100,16120,800,38500,1630,17088,1068,188360,4000,4342.0,0.0,"['PHY319439', 'PHY378883', 'PHY408477', 'PHY424217']",['PHY412056'],21,No
1539,PRV57016,77.0,74.0,16,0,1,45,610,5.0,5.0,5.0,5.0,PHY355463,0,1.5,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.5,1,2.0,2,1.5,1,2.0,2,12,12,12.0,12,197600,6000,3060,100,12020,305,32040,1602,361400,12500,17088.0,1068.0,['PHY355463'],['PHY355463'],16,No
1540,PRV55163,69.0,73.0,584,0,1,34,940,1.0,1.0,0.0,0.0,PHY338065,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,168750,70,488050,380,1546100,1370,265388,0,2672210,0,2728.0,0.0,['PHY338065'],['PHY338065'],587,Yes
1541,PRV53258,73.0,72.0,79,0,1,18,330,1.0,1.0,0.0,0.0,PHY311014,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,39490,50,58410,310,157380,1060,34676,0,332260,0,2396.0,0.0,['PHY311014'],['PHY372439'],80,No
1542,PRV56717,87.0,74.5,8,1,1,45,180,1.0,1.0,0.0,0.0,PHY340278,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.5,1,1.0,1,1.0,1,2.0,2,2.0,2,12,12,12.0,12,11400,60,4960,370,12500,880,6408,534,48360,2605,1068.0,0.0,['PHY367852'],"['PHY325422', 'PHY372578']",8,No
1543,PRV51311,67.0,73.0,20,0,1,4,230,1.0,1.0,0.0,0.0,PHY323585,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,16010,90,9110,250,39720,840,7476,0,52150,0,3204.0,0.0,"['PHY323585', 'PHY333726']",['PHY370452'],21,No
1544,PRV55828,66.0,73.5,24,0,1,38,90,1.0,1.0,0.0,0.0,PHY386863,0,2.0,2,2.0,2,2.0,2,1.0,1,1.5,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,26970,100,10910,270,43790,1285,13884,0,108160,0,7586.0,0.0,"['PHY342061', 'PHY353104', 'PHY354977', 'PHY396408', 'PHY410538']",['PHY342061'],24,No
1545,PRV51920,66.0,71.0,18,0,1,6,150,1.0,1.0,1.0,0.0,PHY334155,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.5,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,100700,1100,9340,225,36630,670,18156,1068,232950,4700,9712.0,584.0,['PHY334155'],['PHY406807'],18,Yes
1546,PRV56916,78.0,78.0,11,0,1,45,240,3.0,2.0,3.0,2.0,PHY376565,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,113700,7000,4600,210,9650,980,20292,2136,222200,23200,11748.0,1068.0,"['PHY376565', 'PHY414168']","['PHY315906', 'PHY376565']",11,No
1547,PRV57699,50.0,71.0,3,1,1,45,610,7.0,5.0,7.0,5.0,PHY367550,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,26000,9000,1950,390,6590,1190,8340,3204,55400,10000,3204.0,1068.0,['PHY367550'],['PHY331908'],3,No
1548,PRV57085,57.0,76.0,5,0,1,45,948,5.0,1.0,5.0,1.0,PHY384938,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,42000,6000,1860,430,6130,930,12816,2136,117450,20300,5340.0,1068.0,['PHY384938'],['PHY384938'],5,No
1549,PRV53236,73.0,76.0,9,0,1,17,390,4.0,3.0,4.0,3.0,PHY332045,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,12,12,12.0,12,96000,8000,5550,240,16950,1800,43952,2136,187830,21300,9612.0,1068.0,['PHY332045'],['PHY344564'],9,No
1550,PRV54242,70.0,71.0,87,0,1,25,170,1.0,1.0,0.0,0.0,PHY333793,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,53270,80,59590,490,255790,1150,35244,0,270090,0,4392.0,0.0,"['PHY404024', 'PHY419733']",['PHY373194'],88,No
1551,PRV52052,66.0,73.0,57,0,1,10,490,1.0,1.0,0.0,0.0,PHY318427,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,48580,80,40310,360,125530,1210,34176,0,265140,0,5430.0,0.0,"['PHY325389', 'PHY411475']",['PHY382720'],58,No
1552,PRV53381,84.0,75.0,33,0,1,19,260,1.0,1.0,0.0,0.0,PHY336155,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,138120,100,21780,220,65540,810,33108,1068,305900,5000,11818.0,0.0,['PHY336155'],['PHY356318'],33,No
1553,PRV57077,62.0,62.0,3,0,1,45,390,3.0,1.0,3.0,1.0,PHY403864,1,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,12,12,12.0,12,29000,12000,10570,4640,49880,23400,16020,7476,139200,67600,3204.0,1068.0,['PHY403864'],[],3,No
1554,PRV55671,71.0,75.5,2,0,1,36,170,8.0,5.0,8.0,5.0,PHY322986,1,1.0,1,2.0,2,2.0,2,1.5,1,1.0,1,1.0,1,1.5,1,2.0,2,1.5,1,2.0,2,2.0,2,12,12,12.0,12,16000,8000,6900,3450,26120,13060,2136,1068,24000,12000,1068.0,1068.0,['PHY322986'],[],2,No
1555,PRV52367,68.0,71.0,296,0,1,11,220,1.0,1.0,0.0,0.0,PHY317872,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,156620,80,163050,350,609920,1160,151474,0,1329120,0,4772.0,0.0,['PHY317872'],['PHY317872'],297,No
1556,PRV51093,47.0,75.0,9,0,1,10,160,1.0,1.0,0.0,0.0,PHY418383,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,13710,80,2940,290,8100,660,5340,1068,42200,0,2136.0,0.0,['PHY312090'],"['PHY315935', 'PHY349494', 'PHY365472', 'PHY425211']",9,No
1557,PRV56643,66.0,78.0,24,0,1,45,312,1.0,1.0,0.0,0.0,PHY325039,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,1.5,1,2.0,2,12,12,12.0,12,72690,400,17180,315,56930,935,18156,0,213580,0,8544.0,0.0,['PHY409605'],['PHY349977'],24,No
1558,PRV56658,71.0,73.5,70,0,1,45,390,1.0,1.0,0.0,0.0,PHY422149,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,35160,90,40420,280,153150,1340,26632,0,327300,0,1428.0,0.0,"['PHY345514', 'PHY422149']",['PHY392447'],70,No
1559,PRV52296,83.0,90.5,2,0,1,10,490,3.5,2.0,3.5,2.0,PHY433826,1,2.0,2,2.0,2,2.0,2,1.0,1,1.5,1,1.0,1,1.5,1,1.5,1,1.5,1,2.0,2,2.0,2,12,12,12.0,12,12000,6000,630,315,3590,1795,3204,1602,13000,6500,2136.0,1068.0,['PHY433826'],[],2,No
1560,PRV55732,71.0,72.0,103,0,1,37,500,1.0,1.0,0.0,0.0,PHY374328,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,178660,80,49680,330,191530,1020,33108,0,301960,0,12966.0,0.0,"['PHY326239', 'PHY344717']",['PHY319153'],111,No
1561,PRV52155,66.0,76.0,62,0,1,10,440,1.0,1.0,0.0,0.0,PHY372625,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,98490,100,30830,340,104760,1105,48060,0,420720,0,13086.0,0.0,"['PHY313375', 'PHY362590', 'PHY366056', 'PHY371966', 'PHY372625', 'PHY375439']",['PHY372625'],62,No
1562,PRV53465,73.0,73.0,23,0,1,19,140,1.0,1.0,0.0,0.0,PHY334982,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,34750,80,20770,190,55890,750,22428,1068,213780,3000,3304.0,0.0,"['PHY318400', 'PHY401244', 'PHY419907']","['PHY370138', 'PHY429632']",23,No
1563,PRV54691,66.0,72.0,67,0,1,10,280,1.0,1.0,0.0,0.0,PHY347627,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,98310,70,45820,370,146460,1300,59408,0,300530,0,7048.0,0.0,['PHY347627'],['PHY347627'],67,No
1564,PRV52844,75.0,71.0,129,1,1,15,90,1.0,1.0,0.0,0.0,PHY328812,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,46950,90,94990,300,338680,1000,77692,0,644990,0,2366.0,0.0,['PHY328812'],['PHY316308'],129,No
1565,PRV53919,46.0,74.0,24,0,1,23,300,1.0,1.0,0.5,0.0,PHY405929,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.5,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,54050,100,12760,280,31240,800,12816,0,95110,0,6598.0,0.0,['PHY411362'],['PHY405929'],24,Yes
1566,PRV51144,77.0,76.0,29,0,1,3,60,1.0,1.0,0.0,0.0,PHY343132,0,2.0,2,2.0,2,2.0,2,1.0,1,1.5,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,61220,150,17190,275,62780,1095,11748,0,122930,0,4492.0,0.0,['PHY343132'],['PHY343132'],30,No
1567,PRV51805,44.0,70.0,3,1,1,5,200,9.0,6.0,9.0,6.0,PHY370477,0,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,67000,5000,900,210,8060,1810,6408,2136,98140,29120,3204.0,1068.0,['PHY321075'],[],3,Yes
1568,PRV56774,67.0,67.0,1,0,5,45,610,4.0,4.0,4.0,4.0,PHY380568,0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,1.0,1,2.0,2,12,12,12.0,12,4000,4000,440,440,1100,1100,2136,2136,15400,15400,1068.0,1068.0,[],[],1,No
1569,PRV51338,68.0,76.5,127,0,1,5,20,1.0,1.0,0.0,0.0,PHY377819,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,113860,90,84800,320,277870,1075,81100,0,643160,0,7926.0,0.0,['PHY421089'],['PHY400175'],128,Yes
1570,PRV53939,78.0,71.0,301,1,1,23,360,1.0,1.0,0.0,0.0,PHY311325,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,193440,80,201140,345,657300,1080,145112,0,1632850,0,7638.0,0.0,['PHY311325'],['PHY311325'],304,No
1571,PRV56125,61.0,74.0,7,1,1,39,620,3.0,1.0,3.0,1.0,PHY423857,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,45000,6000,7610,440,30230,1500,8544,1068,62050,9000,7476.0,1068.0,['PHY423857'],['PHY423857'],7,No
1572,PRV56906,67.0,67.0,7,0,1,45,190,5.0,0.0,5.0,0.0,PHY362214,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,52100,4000,3220,140,16670,910,10680,1068,92320,10000,6408.0,1068.0,"['PHY331679', 'PHY362214', 'PHY362403', 'PHY385086']","['PHY362214', 'PHY402810']",7,No
1573,PRV52472,69.0,74.0,61,0,1,54,0,1.0,1.0,0.0,0.0,PHY421325,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,203810,300,29980,240,96890,790,39516,0,436420,0,18256.0,0.0,['PHY412597'],['PHY361544'],61,No
1574,PRV54502,46.0,57.0,3,0,1,26,150,11.0,8.0,11.0,8.0,PHY401754,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,12,12,12.0,12,55000,22000,610,180,3650,1330,5272,1068,55000,22000,3204.0,1068.0,['PHY401754'],[],3,No
1575,PRV57630,57.0,78.0,8,0,1,52,440,3.0,3.0,3.0,3.0,PHY408977,0,1.5,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,1.5,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,52000,6500,2880,350,7320,365,10412,1068,59760,6680,8544.0,1068.0,['PHY408977'],['PHY408977'],8,No
1576,PRV55501,75.0,75.0,13,0,1,36,610,1.0,1.0,0.0,0.0,PHY377648,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,12940,100,8850,610,15630,880,5340,0,36010,0,1148.0,0.0,"['PHY336874', 'PHY361430']",['PHY366169'],13,No
1577,PRV51232,89.0,89.0,1,0,1,3,120,9.0,9.0,9.0,9.0,PHY396384,1,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,1.0,1,12,12,12.0,12,26000,26000,1200,1200,3990,3990,4272,4272,38360,38360,1068.0,1068.0,['PHY396384'],['PHY431266'],1,No
1578,PRV51535,68.0,75.0,387,0,1,5,430,1.0,1.0,0.0,0.0,PHY394788,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,121350,70,213850,320,827590,1080,188936,0,1640500,0,3476.0,0.0,['PHY394788'],['PHY394788'],388,No
1579,PRV56218,83.0,75.0,116,0,1,42,370,1.0,1.0,0.0,0.0,PHY326302,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,59160,70,67740,340,281650,1000,74604,0,487890,0,6618.0,0.0,['PHY430059'],"['PHY326291', 'PHY339503']",118,No
1580,PRV56172,27.0,64.0,11,1,1,54,110,1.0,1.0,0.0,0.0,PHY355956,0,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,31140,800,1420,70,12870,460,4272,0,27610,0,3204.0,0.0,"['PHY318433', 'PHY359930', 'PHY386122', 'PHY430484']",['PHY430484'],11,No
1581,PRV57593,74.0,74.0,26,0,1,52,250,1.0,1.0,0.0,0.0,PHY420219,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,84910,300,12740,435,44800,1445,19284,0,198450,0,6408.0,0.0,"['PHY315794', 'PHY364401', 'PHY406087']","['PHY329749', 'PHY371994', 'PHY392873', 'PHY404846', 'PHY420219']",26,No
1582,PRV51316,82.0,82.0,3,0,1,4,720,7.0,2.0,7.0,2.0,PHY318939,0,1.0,1,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,21000,5000,20,0,830,0,3204,1068,21280,5000,3204.0,1068.0,['PHY322852'],[],3,No
1583,PRV57030,69.0,75.0,57,0,1,45,130,1.0,1.0,0.0,0.0,PHY358037,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,204810,300,38270,260,156610,1330,34176,0,378410,0,17188.0,0.0,['PHY358037'],['PHY358037'],57,Yes
1584,PRV57148,71.0,74.0,82,1,1,10,410,1.0,1.0,0.0,0.0,PHY316896,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,200830,200,45360,200,163200,1240,93828,0,714450,0,16360.0,0.0,"['PHY321435', 'PHY354116']","['PHY385805', 'PHY405739']",83,No
1585,PRV51354,69.0,71.5,4,0,1,5,480,1.0,1.0,8.5,0.0,PHY318034,0,1.0,1,2.0,2,2.0,2,1.5,1,1.5,1,1.5,1,2.0,2,2.0,2,2.0,2,2.0,2,1.5,1,12,12,12.0,12,10440,200,1570,295,2030,225,2136,0,24000,0,0.0,0.0,"['PHY314910', 'PHY352088']","['PHY416091', 'PHY429994']",4,No
1586,PRV51816,57.0,75.0,7,0,1,5,510,3.0,1.0,3.0,1.0,PHY312631,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,1.0,1,2.0,2,12,12,12.0,12,68000,9000,580,70,5720,200,17020,2136,152970,24000,6408.0,1068.0,['PHY312631'],[],7,No
1587,PRV54072,62.0,70.0,29,0,1,24,100,1.0,1.0,0.0,0.0,PHY413317,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,105640,100,18980,345,73520,2065,18156,0,247750,0,6408.0,0.0,"['PHY393013', 'PHY413433']",['PHY413317'],30,No
1588,PRV52401,72.0,73.0,141,1,1,11,700,1.0,1.0,0.0,0.0,PHY371470,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,78400,80,57820,300,165590,790,100388,0,880690,0,5002.0,0.0,['PHY371470'],['PHY371470'],141,No
1589,PRV56705,68.0,74.0,15,0,1,45,310,1.0,1.0,0.0,0.0,PHY312637,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,61120,250,6160,230,30020,860,8544,0,91440,0,4272.0,0.0,"['PHY350349', 'PHY360743', 'PHY392032', 'PHY392098', 'PHY415125']","['PHY378581', 'PHY410037', 'PHY425773']",16,No
1590,PRV51334,47.0,56.5,2,0,1,4,570,4.5,3.0,4.5,3.0,PHY329996,0,2.0,2,2.0,2,2.0,2,1.0,1,1.5,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,15000,7500,800,400,3100,1550,2136,1068,16200,8100,2136.0,1068.0,['PHY329996'],[],2,No
1591,PRV56285,86.0,78.0,13,0,1,42,200,3.0,2.0,3.0,2.0,PHY315331,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,140000,7000,4590,240,17330,460,26700,2136,308890,15560,13884.0,1068.0,"['PHY322205', 'PHY376423']",['PHY380750'],13,No
1592,PRV51470,67.0,70.0,27,1,1,5,210,1.0,1.0,0.0,0.0,PHY433540,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,35590,100,18480,250,72160,1440,12816,0,133610,0,3204.0,0.0,"['PHY351250', 'PHY401568']","['PHY351250', 'PHY401568', 'PHY433540']",27,No
1593,PRV53616,72.0,75.5,43,0,1,22,20,1.0,1.0,0.0,0.0,PHY343126,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,34970,80,22970,320,82530,1575,17888,0,178640,0,2336.0,0.0,"['PHY346709', 'PHY357688', 'PHY368422', 'PHY396307', 'PHY415616']","['PHY321752', 'PHY350238', 'PHY382748']",44,No
1594,PRV51573,82.0,73.0,90,0,1,5,510,1.0,1.0,0.0,0.0,PHY321350,0,2.0,2,2.0,2,2.0,2,1.0,1,2.0,2,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,66730,100,63510,280,190110,905,42720,0,357390,0,5380.0,0.0,['PHY408359'],['PHY321350'],92,No
1595,PRV52101,77.0,83.0,15,0,1,10,50,1.0,1.0,0.0,0.0,PHY419627,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,12500,80,6990,220,19320,850,6408,0,48180,0,1068.0,0.0,"['PHY340846', 'PHY350431', 'PHY368428', 'PHY372587', 'PHY392331']",['PHY368428'],15,No
